,HR_Left_path,HR_Right_path,HRL_L_path,HRR_L_path,LR_Left_path,LR_Right_path,Subject_num,slice,kfold
0,input/hippocampal-croped-mri/all_data/HR_Left/S25_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S25_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S25_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S25_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S25_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S25_LR_right.nii,25,54,3
1,input/hippocampal-croped-mri/all_data/HR_Left/S12_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S12_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S12_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S12_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S12_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S12_LR_right.nii,12,125,2
2,input/hippocampal-croped-mri/all_data/HR_Left/S22_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S22_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S22_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S22_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S22_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S22_LR_right.nii,22,158,1
3,input/hippocampal-croped-mri/all_data/HR_Left/S15_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S15_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S15_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S15_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S15_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S15_LR_right.nii,15,31,2
4,input/hippocampal-croped-mri/all_data/HR_Left/S18_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S18_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S18_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S18_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S18_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S18_LR_right.nii,18,9,0
5,input/hippocampal-croped-mri/all_data/HR_Left/S2_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S2_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S2_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S2_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S2_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S2_LR_right.nii,2,123,1
6,input/hippocampal-croped-mri/all_data/HR_Left/S12_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S12_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S12_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S12_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S12_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S12_LR_right.nii,12,101,2
7,input/hippocampal-croped-mri/all_data/HR_Left/S17_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S17_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S17_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S17_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S17_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S17_LR_right.nii,17,101,3
8,input/hippocampal-croped-mri/all_data/HR_Left/S22_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S22_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S22_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S22_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S22_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S22_LR_right.nii,22,121,1
9,input/hippocampal-croped-mri/all_data/HR_Left/S8_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S8_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S8_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S8_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S8_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S8_LR_right.nii,8,84,1
10,input/hippocampal-croped-mri/all_data/HR_Left/S22_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S22_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S22_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S22_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S22_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S22_LR_right.nii,22,15,1
11,input/hippocampal-croped-mri/all_data/HR_Left/S1_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S1_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S1_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S1_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S1_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S1_LR_right.nii,1,50,1
12,input/hippocampal-croped-mri/all_data/HR_Left/S25_HR_Left.nii,input/hippocampal-croped-mri/all_data/HR_right/S25_HR_right.nii,input/hippocampal-croped-mri/all_data/Mask_Left/S25_Mask_Left.nii,input/hippocampal-croped-mri/all_data/Mask_right/S25_Mask_Right.nii,input/hippocampal-croped-mri/all_data/LR_Left/S25_LR_Left.nii,input/hippocampal-croped-mri/all_data/LR_right/S25_LR_right.nii,25,57,3
